node_index,root_id,type,family,role,side
0,720575940596125868,T5c,T5 Neuron,input,right
1,720575940599457990,T4b,T4 Neuron,input,right
2,720575940599459782,T5b,T5 Neuron,input,right
3,720575940599704006,T5a,T5 Neuron,input,right
4,720575940599729862,T5a,T5 Neuron,input,right
5,720575940599733446,T5b,T5 Neuron,input,right
6,720575940599755718,T4a,T4 Neuron,input,right
7,720575940599763910,T5b,T5 Neuron,input,right
8,720575940600071689,T5b,T5 Neuron,input,right
9,720575940600101641,T4a,T4 Neuron,input,right
10,720575940600124169,T5b,T5 Neuron,input,right
11,720575940600143369,T4a,T4 Neuron,input,right
12,720575940600150793,T5a,T5 Neuron,input,right
13,720575940600547529,T4a,T4 Neuron,input,right
14,720575940600850441,T4c,T4 Neuron,input,right
15,720575940600866569,T5d,T5 Neuron,input,right
16,720575940600934665,T4d,T4 Neuron,input,right
17,720575940601206499,T4b,T4 Neuron,input,right
18,720575940601263473,T4a,T4 Neuron,input,left
19,720575940601672201,T4b,T4 Neuron,input,right
20,720575940602140862,T5b,T5 Neuron,input,right
21,720575940602497726,T5c,T5 Neuron,input,right
22,720575940602577598,T5a,T5 Neuron,input,right
23,720575940602737598,T5a,T5 Neuron,input,right
24,720575940602790610,T5c,T5 Neuron,input,right
25,720575940602928608,T4c,T4 Neuron,input,right
26,720575940603022304,T4a,T4 Neuron,input,left
27,720575940603339232,T4c,T4 Neuron,input,right
28,720575940603349216,T5d,T5 Neuron,input,left
29,720575940603356896,T4d,T4 Neuron,input,right
30,720575940603365980,T5a,T5 Neuron,input,right
31,720575940603373916,T5a,T5 Neuron,input,right
32,720575940603390380,T5c,T5 Neuron,input,left
33,720575940603391712,T4c,T4 Neuron,input,right
34,720575940603391778,T5d,T5 Neuron,input,left
35,720575940603392546,T5b,T5 Neuron,input,left
36,720575940603394272,T4c,T4 Neuron,input,right
37,720575940603404834,T5d,T5 Neuron,input,left
38,720575940603471811,T5d,T5 Neuron,input,left
39,720575940603487456,T5d,T5 Neuron,input,left
40,720575940603491957,T4a,T4 Neuron,input,right
41,720575940603498357,T4d,T4 Neuron,input,right
42,720575940603498613,T4c,T4 Neuron,input,right
43,720575940603498869,T4b,T4 Neuron,input,right
44,720575940603526005,T4a,T4 Neuron,input,right
45,720575940603544363,T5d,T5 Neuron,input,left
46,720575940603556981,T4d,T4 Neuron,input,right
47,720575940603563893,T4c,T4 Neuron,input,right
48,720575940603568757,T4a,T4 Neuron,input,right
49,720575940603604258,T5b,T5 Neuron,input,left
50,720575940603605538,T4a,T4 Neuron,input,left
51,720575940603688226,T5b,T5 Neuron,input,left
52,720575940603714652,T5b,T5 Neuron,input,right
53,720575940603761836,T5a,T5 Neuron,input,right
54,720575940603797420,T4c,T4 Neuron,input,right
55,720575940603818464,T5c,T5 Neuron,input,left
56,720575940603842476,T4d,T4 Neuron,input,right
57,720575940603873033,T5b,T5 Neuron,input,right
58,720575940603904496,T4c,T4 Neuron,input,right
59,720575940603940012,T5a,T5 Neuron,input,right
60,720575940604084704,T5b,T5 Neuron,input,right
61,720575940604105137,T5b,T5 Neuron,input,right
62,720575940604142453,T4c,T4 Neuron,input,right
63,720575940604179372,T5b,T5 Neuron,input,left
64,720575940604180140,T4b,T4 Neuron,input,right
65,720575940604192992,T5d,T5 Neuron,input,left
66,720575940604198828,T4a,T4 Neuron,input,left
67,720575940604221356,T5c,T5 Neuron,input,left
68,720575940604323808,T5c,T5 Neuron,input,right
69,720575940604324320,T5c,T5 Neuron,input,right
70,720575940604324576,T4b,T4 Neuron,input,left
71,720575940604337632,T4b,T4 Neuron,input,left
72,720575940604383776,T4a,T4 Neuron,input,right
73,720575940604386594,T4a,T4 Neuron,input,left
74,720575940604411616,T5b,T5 Neuron,input,right
75,720575940604412896,T5c,T5 Neuron,input,right
76,720575940604413664,T5b,T5 Neuron,input,right
77,720575940604427232,T5b,T5 Neuron,input,right
78,720575940604432864,T5a,T5 Neuron,input,right
79,720575940604435061,T4b,T4 Neuron,input,right
80,720575940604436720,T4d,T4 Neuron,input,right
81,720575940604457200,T5c,T5 Neuron,input,right
82,720575940604474982,T4a,T4 Neuron,input,right
83,720575940604478065,T4b,T4 Neuron,input,left
84,720575940604487968,T5d,T5 Neuron,input,right
85,720575940604495537,T5d,T5 Neuron,input,left
86,720575940604511776,T5c,T5 Neuron,input,right
87,720575940604521952,T4c,T4 Neuron,input,right
88,720575940604544358,T5a,T5 Neuron,input,right
89,720575940604565280,T4a,T4 Neuron,input,left
90,720575940604567486,T4d,T4 Neuron,input,right
91,720575940604618417,T5a,T5 Neuron,input,left
92,720575940604622453,T4c,T4 Neuron,input,right
93,720575940604629681,T5c,T5 Neuron,input,left
94,720575940604635253,T4c,T4 Neuron,input,right
95,720575940604636021,T4c,T4 Neuron,input,right
96,720575940604636789,T4c,T4 Neuron,input,right
97,720575940604637045,T4d,T4 Neuron,input,right
98,720575940604640945,T4a,T4 Neuron,input,right
99,720575940604652512,T4d,T4 Neuron,input,right
100,720575940604666336,T5c,T5 Neuron,input,left
101,720575940604679664,T4d,T4 Neuron,input,right
102,720575940604694496,T5a,T5 Neuron,input,left
103,720575940604699120,T4b,T4 Neuron,input,right
104,720575940604699825,T4d,T4 Neuron,input,right
105,720575940604704940,T5d,T5 Neuron,input,right
106,720575940604712688,T4a,T4 Neuron,input,right
107,720575940604731569,T5c,T5 Neuron,input,left
108,720575940604732640,T5d,T5 Neuron,input,left
109,720575940604738737,T4d,T4 Neuron,input,right
110,720575940604745456,T4a,T4 Neuron,input,right
111,720575940604766688,T4c,T4 Neuron,input,left
112,720575940604774572,T5a,T5 Neuron,input,right
113,720575940604778156,T5b,T5 Neuron,input,right
114,720575940604781490,T5b,T5 Neuron,input,left
115,720575940604782764,T5c,T5 Neuron,input,right
116,720575940604804798,T4c,T4 Neuron,input,right
117,720575940604805566,T4b,T4 Neuron,input,right
118,720575940604807392,T4d,T4 Neuron,input,left
119,720575940604809184,T5d,T5 Neuron,input,left
120,720575940604811692,T5b,T5 Neuron,input,right
121,720575940604812204,T4c,T4 Neuron,input,right
122,720575940604812465,T4a,T4 Neuron,input,left
123,720575940604818092,T4b,T4 Neuron,input,right
124,720575940604828128,T4a,T4 Neuron,input,left
125,720575940604828849,T4a,T4 Neuron,input,right
126,720575940604830129,T5a,T5 Neuron,input,left
127,720575940604831456,T4a,T4 Neuron,input,right
128,720575940604835756,T4b,T4 Neuron,input,right
129,720575940604836012,T4a,T4 Neuron,input,right
130,720575940604875744,T5b,T5 Neuron,input,right
131,720575940604889056,T4a,T4 Neuron,input,left
132,720575940604894688,T5a,T5 Neuron,input,left
133,720575940604898662,T4c,T4 Neuron,input,right
134,720575940604900832,T5c,T5 Neuron,input,right
