#{"t_start": 1789626536.1351714, "env_id": "None"}
r,l,t
31.65,500,2.386306
-6.7,67,85.090185
10.25,330,85.904026
14.45,395,166.489217
4.8,240,167.049841
30.7,500,249.205202
30.7,500,330.917114
8.6,297,413.376251
-6.9,63,413.466442
-7.3,55,413.577937
31.65,500,496.830209
6.5,274,578.639874
5.95,263,579.082434
1.3,189,1393.959748
15.8,422,1394.704443
31.65,500,1479.854482
2.15,206,1562.778397
31.65,500,5276.805225
31.65,500,5363.069157
31.65,500,5449.622971
6.3,270,5450.331329
14.0,386,5534.759656
-6.05,80,5534.917714
-3.1,120,5535.233912
13.45,375,5624.079887
31.65,500,5721.756913
9.6,317,5808.994836
-7.0,61,5809.168706
15.85,423,5899.729442
31.65,500,5986.534124
31.65,500,6074.54879
31.65,500,6161.733169
6.15,267,6162.406506
31.65,500,6254.958906
19.25,472,6351.927243
-7.35,54,6352.145696
16.45,416,6450.304879
-3.25,117,6450.797125
6.0,264,6548.662537
31.65,500,6643.951521
31.65,500,6742.553324
10.75,340,6744.106565
30.7,500,6839.538121
15.25,411,6934.919802
2.9,221,7024.810805
7.05,285,7025.585893
31.65,500,7115.10771
-6.25,76,7115.321847
18.6,459,7205.507504
-2.4,134,7205.80747
31.65,500,7297.103735
31.65,500,7390.975894
-6.1,79,7482.064422
31.65,500,7483.875125
31.65,500,7572.296168
31.65,500,7658.816649
-6.85,64,7747.220735
0.55,174,7747.714866
13.7,380,7834.935398
-1.3,156,7835.489568
32.6,500,7925.46241
-2.4,134,7925.776154
12.05,366,8012.675657
-1.9,144,8013.086396
31.65,500,8105.048952
30.7,500,8195.642997
-6.55,70,8195.794924
16.45,435,18112.623847
31.65,500,18198.340048
31.65,500,18285.710602
32.6,500,18375.307701
16.1,428,18460.620096
1.15,186,18461.152948
-2.4,134,18547.981399
31.65,500,18549.027954
31.65,500,18636.30234
30.7,500,18725.348371
5.25,249,18813.075764
-2.55,131,18813.429574
-6.0,81,18813.600885
-1.3,156,18901.776049
31.65,500,18992.074021
