#{"t_start": 1789626476.6391766, "env_id": "None"}
r,l,t
30.7,500,3.057083
-3.35,115,61.543053
31.65,500,144.745418
30.7,500,225.904932
32.6,500,306.290926
31.65,500,387.300539
-6.25,76,387.392918
30.7,500,468.234153
-2.1,140,468.45083
1.05,184,468.694868
-3.4,114,551.385671
31.65,500,633.58521
13.4,374,634.284879
-5.85,84,634.39396
31.65,500,1450.052889
31.65,500,1534.4618
3.3,229,1617.63344
21.45,497,5330.900167
31.65,500,5417.297281
15.65,419,5502.583586
6.0,264,5503.223493
0.6,175,5503.619989
3.35,230,5589.712911
-2.95,123,5590.028658
31.65,500,5679.24944
1.6,195,5774.410702
31.65,500,5861.212527
31.65,500,5862.11
30.7,500,5951.957398
-7.2,57,6038.025592
31.65,500,6125.781263
-1.45,153,6126.017849
8.5,295,6126.627422
10.55,336,6214.139656
31.65,500,6306.166871
-1.85,145,6306.544924
16.1,428,6401.082511
-2.35,135,6401.562477
31.65,500,6501.687718
18.75,462,6599.661017
30.7,500,6694.300664
-6.6,69,6694.592173
30.7,500,6793.325916
-2.8,126,6890.40628
-2.4,134,6890.751832
31.65,500,6985.885547
31.65,500,7078.763757
31.65,500,7171.011972
1.2,187,7171.509628
31.65,500,7262.919083
13.3,372,7353.658366
6.8,280,7354.478746
31.65,500,7446.66438
31.65,500,7539.084476
13.9,384,7626.60197
31.65,500,7712.408735
-6.45,72,7712.519664
14.2,390,7802.074573
-3.4,114,7802.385249
1.5,193,7889.959363
31.65,500,7979.018471
14.1,388,7979.87597
11.65,358,8067.413876
16.6,438,8157.347237
11.45,354,8248.83308
31.65,500,18163.916721
31.65,500,18248.418174
-1.95,143,18248.63028
30.7,500,18335.026322
21.5,498,18423.661121
11.55,356,18424.321277
31.65,500,18511.78703
31.65,500,18598.596112
30.7,500,18685.889665
10.5,335,18772.854763
1.8,199,18773.241045
31.65,500,18861.306254
31.65,500,18948.833869
3.05,224,19036.556783
-6.55,70,19036.704478
7.5,294,19125.967901
-1.3,156,19126.347942
15.7,420,19215.878386
31.65,500,19302.470045
32.6,500,19388.126999
32.6,500,19475.220793
6.8,280,19475.689029
7.95,303,19561.612381
7.5,294,19562.198847
31.65,500,19649.061333
19.35,474,19734.766166
31.65,500,19821.361
18.45,456,19907.217743
1.2,187,19907.57815
-2.0,142,19995.107365
31.65,500,20081.077777
31.65,500,20166.176239
30.7,500,20252.732338
32.6,500,20340.292527
16.3,432,20341.147229
31.65,500,20428.461265
5.5,254,20516.443103
12.85,363,20599.35381
31.65,500,20686.361442
31.65,500,20774.543543
-6.55,70,20774.816719
5.8,260,20775.315421
-6.85,64,20775.443696
-5.7,87,20860.841284
12.8,381,20861.653854
11.8,361,20945.790565
-6.1,79,20945.905549
15.2,410,21031.273391
31.65,500,21117.0292
2.35,210,21117.504704
16.6,438,21204.845094
31.65,500,21291.1339
14.2,390,21379.240918
30.7,500,21466.142059
6.05,265,21466.749636
20.05,488,21553.630569
6.3,270,21640.246113
19.5,477,21726.814803
30.7,500,21813.147905
31.65,500,21900.853871
11.15,348,21901.541719
1.9,201,21988.132789
31.65,500,22075.631655
1.95,202,22076.018609
4.55,235,22163.044023
-2.6,130,22163.320793
31.65,500,22251.600474
31.65,500,22338.022557
15.8,422,22425.943224
2.85,220,22426.264927
6.85,281,22512.681999
5.2,248,22513.262958
-7.3,55,22513.402194
31.65,500,22600.682805
31.65,500,22687.934348
15.45,415,22773.238649
13.9,384,22859.626636
31.65,500,22945.95002
-3.6,110,22946.208437
17.35,434,23032.839899
17.8,443,23119.371356
31.65,500,23206.034314
18.9,465,23292.436918
31.65,500,23379.543241
-2.55,131,23379.832507
-2.8,126,23380.035378
9.8,321,23467.045233
19.5,477,23552.895671
12.55,376,23553.645911
31.65,500,23642.343378
-2.75,127,23727.685996
19.75,482,23814.474962
31.65,500,23900.209178
32.6,500,23987.218481
31.65,500,23988.165556
15.8,422,24074.688526
12.6,377,24162.429415
31.65,500,24248.788198
-7.35,54,24248.877237
-6.6,69,24248.978568
11.45,354,24336.911897
9.95,324,24424.026172
14.9,404,24425.001471
-6.35,74,24511.353738
31.65,500,24600.091875
31.65,500,24601.012963
31.65,500,24688.259843
32.6,500,24774.724367
0.5,173,24862.349697
31.65,500,24948.689821
19.2,471,25035.990333
5.8,260,25036.588088
-6.95,62,25036.691876
31.65,500,25124.167204
31.65,500,25211.925793
31.65,500,25298.835183
5.1,246,25385.15752
31.65,500,25471.605349
19.3,473,25558.385862
31.65,500,25644.076674
-2.9,124,25644.334669
-6.2,77,25644.504876
31.65,500,25733.335622
31.65,500,25819.551839
13.95,385,25907.896724
31.65,500,25995.253096
31.65,500,26080.478128
31.65,500,26167.429151
-3.4,114,26167.71796
19.3,473,26254.275033
-2.6,130,26254.553065
1.45,192,26254.999361
31.65,500,26340.394838
-1.45,153,26424.974444
-7.05,60,26425.074885
-6.5,71,26425.186449
31.65,500,26512.168858
-7.15,58,26512.240165
-2.75,127,26512.533033
4.95,243,26598.929225
2.35,210,26599.485169
30.7,500,26686.073936
-1.95,143,26686.341761
32.6,500,26773.453324
30.7,500,26861.771916
19.6,479,26948.417343
32.6,500,27035.071585
32.6,500,27121.623905
-6.2,77,27121.798782
6.5,274,27209.626717
31.65,500,27296.905632
32.6,500,27384.032086
-6.55,70,27384.193166
-7.2,57,27384.317501
-6.1,79,27384.437819
-6.45,72,27384.545854
30.7,500,27470.834068
30.7,500,27558.949254
31.65,500,27645.386919
-2.05,141,27731.556095
10.5,335,27732.239748
1.85,200,27817.359752
14.45,395,27818.312705
19.85,484,27907.212778
0.65,176,27994.734439
30.7,500,28081.129175
31.65,500,28169.129154
31.65,500,28256.446134
31.65,500,28342.909945
0.65,176,28343.312423
10.6,337,28431.576348
31.65,500,28520.084498
30.7,500,28607.843664
-2.9,124,28608.26813
31.65,500,28695.439675
31.65,500,28782.083091
7.35,291,28782.621944
31.65,500,28869.22615
2.4,211,28955.570496
31.65,500,29042.279521
31.65,500,29128.576016
10.75,340,29129.318424
31.65,500,29217.234284
32.6,500,29304.088061
18.4,455,29391.144002
31.65,500,29479.886961
2.35,210,29568.272455
18.75,462,29569.218802
18.35,454,29655.887182
31.65,500,29741.628772
4.8,240,29827.252323
-1.85,145,29827.594932
5.8,260,29913.549428
18.8,463,30001.142787
31.65,500,30002.165619
32.6,500,30087.475195
14.45,395,30171.281726
30.7,500,30254.646051
-2.7,128,30254.84165
32.6,500,30338.743119
-2.1,140,30421.983218
1.85,200,30422.374566
31.65,500,30504.903969
-2.9,124,30505.138276
17.85,444,30590.809152
31.65,500,30674.719726
-2.65,129,30674.903249
-5.65,88,30755.759752
18.15,450,30756.610781
13.0,366,30840.005433
30.7,500,30924.569808
10.55,336,31007.590074
1.2,187,31008.026456
15.35,413,31092.096419
31.65,500,31175.770173
31.65,500,31259.38387
14.85,403,31343.54129
31.65,500,31426.849688
31.65,500,31509.416149
-2.8,126,31509.692077
1.45,192,31510.041036
