#{"t_start": 1789886845.178879, "env_id": "None"}
r,l,t
-2.5,132,1.038587
5.7,258,1.357341
-6.6,69,1.439253
31.65,500,27.676737
6.25,269,53.710711
3.2,227,53.938807
32.6,500,80.728427
-2.25,137,106.814888
-3.0,122,106.941578
17.25,451,133.254747
21.1,490,159.933137
-6.5,71,160.003724
-6.35,74,160.080896
-6.0,81,160.16199
-2.95,123,160.283007
14.75,401,187.250852
-7.05,60,187.307942
2.65,216,213.44036
-1.6,150,213.580964
-7.0,61,213.638618
1.8,199,213.823505
-1.6,150,240.16974
-2.15,139,240.30624
6.25,269,266.60341
16.45,416,267.051657
-3.3,116,293.19836
9.75,320,293.508214
15.7,420,320.086869
-2.95,123,320.241271
0.85,180,347.263047
-1.15,159,347.405246
31.65,500,374.702285
3.55,234,374.940138
-2.3,136,400.030748
11.4,353,400.358844
1.95,202,426.250099
32.6,500,451.925419
-3.45,113,452.035227
18.0,447,477.39255
31.65,500,502.373971
30.7,500,527.223898
31.65,500,552.391001
-7.35,54,552.437126
31.65,500,577.606686
31.65,500,603.064393
30.7,500,628.377774
21.25,493,653.974017
31.65,500,679.228774
31.65,500,704.312822
31.65,500,729.625748
31.65,500,754.645229
31.65,500,779.947011
32.6,500,805.416591
30.7,500,830.994087
31.65,500,856.599404
31.65,500,882.06378
31.65,500,882.566642
31.65,500,908.656903
31.65,500,940.038056
31.65,500,966.271997
31.65,500,992.294508
31.65,500,1019.226774
-6.85,64,1019.281229
