#{"t_start": 1789949541.9703238, "env_id": "None"}
r,l,t
-2.5,132,3.925495
5.7,258,4.307705
-6.6,69,4.409975
31.65,500,33.879624
6.25,269,63.167523
3.2,227,63.500289
32.6,500,93.137144
-2.25,137,122.143566
7.5,294,122.57297
6.75,279,152.294276
0.95,182,152.570971
-7.2,57,152.657085
5.35,251,182.080729
-6.5,71,182.188775
6.7,278,182.60581
-2.05,141,211.59934
5.8,260,211.991218
-7.05,60,212.081089
12.05,366,241.425285
-2.9,124,241.613169
-2.3,136,241.817806
2.1,205,270.833075
15.65,419,300.177533
0.15,166,300.426101
1.05,184,300.702162
-7.15,58,300.795737
-7.15,58,329.512517
-2.2,138,329.720081
0.95,182,329.991935
2.2,207,359.148443
-1.6,150,359.374004
-2.95,123,359.557559
1.05,184,388.527936
-2.1,140,388.738538
-1.85,145,388.956598
0.6,175,389.220942
-1.9,144,418.293011
-2.9,124,418.473607
-1.4,154,418.700161
-1.05,161,448.015327
1.2,187,448.2932
-1.85,145,448.528564
-2.35,135,448.728555
9.9,323,478.089948
1.05,184,478.365064
-2.3,136,507.567667
-2.15,139,507.770982
9.4,313,537.142193
15.0,406,537.740878
-2.75,127,566.962685
-2.85,125,567.146131
1.7,197,567.435935
12.5,375,596.969192
-2.35,135,597.16965
1.3,189,626.133582
-1.2,158,626.370378
1.3,189,626.653706
-3.1,120,655.478434
5.65,257,655.870512
31.65,500,685.538994
6.85,281,714.864908
-0.9,164,715.112505
-2.6,130,715.30761
9.7,319,744.515307
4.55,235,744.868154
10.6,337,774.058151
-1.85,145,774.275173
5.75,259,803.413698
-2.3,136,803.618382
2.35,210,803.933628
9.45,314,833.164842
-1.6,150,833.386159
31.65,500,863.018936
31.65,500,892.635684
0.6,175,921.815841
-3.1,120,922.012704
-3.65,109,922.173482
31.65,500,951.767637
30.7,500,981.427759
-6.6,69,981.531319
1.15,186,981.803431
-7.0,61,1010.735567
-2.85,125,1010.923865
1.8,199,1011.218246
-6.0,81,1011.338479
-7.2,57,1011.422384
3.4,231,1040.536697
9.45,314,1069.672272
-1.6,150,1069.897483
-6.15,78,1070.014189
10.3,331,1099.2983
0.8,179,1099.56734
-2.1,140,1099.776464
-2.25,137,1128.633687
1.0,183,1128.910456
-6.95,62,1129.004092
-6.65,68,1129.106637
1.95,202,1157.964401
-3.4,114,1158.160352
-6.8,65,1158.25888
