#{"t_start": 1789919805.2023544, "env_id": "None"}
r,l,t
-2.3,136,3.83851
-5.8,85,3.996996
9.35,312,33.285873
-2.25,137,33.546556
-3.25,117,33.768313
-3.2,118,33.992066
10.0,325,63.297061
-1.75,147,63.571293
-2.95,123,63.801309
-7.35,54,92.597777
-2.2,138,92.855644
-1.95,143,93.121803
-2.1,140,93.382308
-5.8,85,122.442663
-6.8,65,122.565111
1.5,193,122.924778
31.65,500,152.702188
-7.3,55,152.806641
-6.15,78,152.951948
2.35,210,182.252466
5.85,261,182.739309
-6.25,76,182.880727
1.75,198,212.241204
-2.8,126,212.490706
31.65,500,242.547402
-6.5,71,242.682235
20.4,495,272.621166
-6.65,68,272.748587
6.75,279,302.234204
-1.3,156,302.523471
2.9,221,302.933624
-2.45,133,332.738104
2.75,218,333.144761
-2.3,136,333.398495
-2.55,131,362.733005
-6.65,68,362.860716
5.7,258,363.341801
-2.85,125,392.678466
-7.0,61,392.792417
1.25,188,393.142937
1.5,193,393.502761
5.4,252,423.033636
1.7,197,423.400346
2.7,217,452.892892
-2.9,124,453.124568
-3.3,116,453.34249
4.6,236,482.960252
-1.4,154,483.247457
-2.45,133,483.495127
-3.0,122,483.723657
-2.75,127,512.937714
-2.25,137,513.193873
-2.95,123,513.424385
-1.75,147,513.701444
7.45,293,543.399131
-7.2,57,543.505562
-0.7,168,543.823044
-2.8,126,573.118755
-1.95,143,573.386067
-2.35,135,573.638573
-1.65,149,602.82661
-2.05,141,603.090025
-2.05,141,603.353573
5.85,261,632.945613
-3.35,115,633.16296
-2.7,128,633.402963
1.35,190,633.758988
-1.8,146,663.201915
-2.4,134,663.45156
5.4,252,692.857308
4.55,235,693.296495
7.75,299,722.844449
-3.75,107,723.043967
9.15,308,723.615654
-3.2,118,752.890031
31.65,500,782.82009
14.45,395,783.559722
1.5,193,812.914703
10.65,338,813.546941
-2.35,135,842.709115
1.95,202,843.086334
10.75,340,872.849714
1.15,186,873.2012
-2.0,142,873.467787
31.65,500,903.451453
2.0,203,932.862726
11.1,347,933.511288
30.7,500,963.325401
-6.6,69,992.414508
-1.3,156,992.709053
-1.8,146,992.982788
-3.45,113,993.195184
32.6,500,1023.110583
19.35,474,1052.969944
1.8,199,1082.269253
-6.95,62,1082.385357
1.4,191,1082.744535
1.7,197,1083.115518
18.65,460,1113.077839
-3.35,115,1142.341208
-7.3,55,1142.443734
-6.85,64,1142.562938
-6.6,69,1142.692866
-3.35,115,1142.906384
19.1,469,1172.70444
2.0,203,1201.969814
-6.35,74,1202.108594
6.45,273,1202.618395
-6.4,73,1202.755945
8.55,315,1232.336305
18.75,462,1262.046813
1.4,191,1262.402588
9.45,314,1291.938796
-7.15,58,1292.047097
-6.6,69,1292.176112
5.8,260,1321.610513
-1.25,157,1321.908702
