#{"t_start": 1789919806.4455147, "env_id": "None"}
r,l,t
9.4,313,4.396398
-6.0,81,4.56701
-6.3,75,4.722495
-6.75,66,34.367517
17.35,434,35.278167
-3.1,120,65.206104
-7.2,57,65.323786
-7.25,56,65.440098
-6.7,67,65.578582
-6.95,62,65.706009
-6.35,74,65.857059
8.9,303,96.34508
-2.4,134,96.62821
6.9,282,126.960508
-6.65,68,127.101877
-7.2,57,127.219964
-6.15,78,127.38352
-2.45,133,127.662144
1.65,196,157.808313
-6.5,71,157.955748
5.35,251,158.478485
8.7,318,188.884126
6.45,273,189.447404
18.65,460,220.19071
6.35,271,250.400697
-6.85,64,250.533686
14.2,390,280.888269
-7.35,54,281.011511
-1.05,161,281.374342
-6.15,78,281.555244
1.95,202,311.366228
-5.9,83,311.557681
-2.4,134,311.863653
-0.8,166,312.237813
3.7,237,342.766013
3.2,227,343.271194
9.55,316,373.703902
11.1,347,404.447788
-2.15,139,404.757693
-3.3,116,405.017354
3.6,235,435.380128
-1.15,159,435.735448
-2.4,134,436.03366
15.25,411,466.738459
-3.15,119,467.006095
-2.3,136,497.260443
9.8,321,497.974582
-2.1,140,498.288703
0.7,177,528.251671
-2.3,136,528.55291
3.1,225,529.060353
-2.0,142,559.142821
-3.05,121,559.41417
-1.35,155,559.759912
2.5,213,589.89377
0.8,179,590.296948
6.85,281,620.734257
14.95,405,621.652257
-2.0,142,651.45309
31.65,500,681.673828
5.7,258,682.26148
9.0,305,712.919663
31.65,500,744.077891
-5.9,83,744.263465
10.15,328,774.925194
13.1,368,775.745593
-2.6,130,806.081337
-2.0,142,806.398741
19.55,478,837.28632
31.65,500,868.282637
15.95,425,898.701343
9.2,309,899.337295
-2.5,132,899.609097
-6.65,68,929.026419
30.7,500,930.054334
10.65,338,960.431272
19.4,475,991.488296
6.05,265,1021.559873
-1.05,161,1021.890321
-7.35,54,1022.001216
-7.25,56,1022.116501
31.65,500,1052.559272
31.65,500,1083.494121
13.75,381,1114.460329
30.7,500,1145.404021
31.65,500,1176.438793
7.35,291,1177.101193
15.95,425,1207.374362
-2.45,133,1207.651199
8.9,303,1237.828209
1.9,201,1238.246124
19.55,478,1269.005006
10.6,337,1299.87913
-6.7,67,1300.029417
5.05,245,1330.348024
-6.7,67,1330.498796
1.25,188,1330.922287
17.75,461,1361.457329
-7.35,54,1361.585227
13.65,379,1391.826364
-7.05,60,1391.96129
-7.2,57,1392.089763
31.65,500,1423.179319
18.05,448,1454.101273
0.7,177,1454.500933
9.9,323,1485.361732
6.55,275,1485.979716
