#{"t_start": 1789919798.8878262, "env_id": "None"}
r,l,t
-7.35,54,3.592979
15.45,415,4.245179
2.05,204,33.142614
4.8,240,33.501584
21.2,492,62.835227
1.2,187,91.734684
1.5,193,92.023034
31.65,500,121.221562
2.0,203,121.524101
-2.8,126,150.349864
2.3,209,150.664126
11.3,351,179.746004
31.65,500,209.311136
19.6,479,238.827894
31.65,500,268.370018
-7.35,54,268.452807
16.75,441,297.739035
7.95,303,298.190306
-6.05,80,298.310711
17.9,464,327.901469
5.55,255,356.87728
10.85,342,357.391653
31.65,500,386.832391
11.25,350,416.104473
31.65,500,445.470392
31.65,500,474.831511
14.2,390,504.045338
31.65,500,533.587713
31.65,500,563.062485
31.65,500,592.592099
-2.0,142,592.805616
10.8,341,622.116747
31.65,500,651.455157
4.6,236,651.81258
31.65,500,681.203407
31.65,500,710.582883
31.65,500,739.968474
31.65,500,769.304992
31.65,500,798.780293
30.7,500,828.223271
31.65,500,857.620598
8.0,304,858.075995
30.7,500,887.413961
31.65,500,917.322641
31.65,500,946.969947
31.65,500,976.46735
32.6,500,1005.988235
30.7,500,1035.585759
31.65,500,1065.131117
31.65,500,1094.816946
15.6,418,1124.281364
31.65,500,1153.708578
31.65,500,1183.275066
31.65,500,1212.684178
31.65,500,1242.152035
31.65,500,1271.573359
13.8,382,1300.848569
31.65,500,1330.337667
31.65,500,1359.880078
31.65,500,1389.395131
30.7,500,1418.970953
14.15,389,1419.556901
31.65,500,1449.025905
31.65,500,1478.627658
31.65,500,1508.140766
31.65,500,1537.623923
31.65,500,1567.098869
31.65,500,1596.687055
31.65,500,1626.288691
31.65,500,1655.906064
30.7,500,1685.485648
31.65,500,1715.026965
31.65,500,1744.466649
31.65,500,1773.907286
30.7,500,1803.364219
31.65,500,1832.851639
7.0,284,1861.940535
31.65,500,1891.348238
31.65,500,1920.824939
31.65,500,1950.352
31.65,500,1979.827168
32.6,500,2009.252987
31.65,500,2010.006952
31.65,500,2039.523268
30.7,500,2069.019262
32.6,500,2098.55
31.65,500,2128.201986
31.65,500,2157.699425
31.65,500,2187.173791
31.65,500,2216.83983
31.65,500,2246.282356
31.65,500,2275.695895
32.6,500,2305.244871
12.5,375,2334.737818
31.65,500,2364.382408
-2.6,130,2364.57916
14.3,392,2393.966266
31.65,500,2423.703908
5.95,263,2424.097936
-2.6,130,2453.235977
-2.35,135,2453.437535
16.45,435,2482.926076
31.65,500,2512.48269
31.65,500,2541.997267
30.7,500,2571.564915
31.65,500,2601.221735
30.7,500,2631.045126
30.7,500,2660.53191
32.6,500,2689.980152
31.65,500,2719.587333
32.6,500,2749.312145
31.65,500,2778.853867
31.65,500,2808.418998
31.65,500,2837.9488
31.65,500,2867.58564
15.9,424,2868.22162
31.65,500,2897.826052
31.65,500,2927.419046
31.65,500,2956.921123
31.65,500,2986.599432
31.65,500,3016.254228
31.65,500,3045.834957
31.65,500,3075.463227
30.7,500,3105.301173
31.65,500,3134.963137
31.65,500,3164.833445
30.7,500,3194.54996
31.65,500,3224.215423
31.65,500,3253.924425
31.65,500,3283.826331
31.65,500,3313.533248
32.6,500,3343.290026
30.7,500,3373.003366
31.65,500,3402.580201
31.65,500,3432.32886
31.65,500,3461.815415
31.65,500,3491.300285
32.6,500,3520.862373
31.65,500,3550.455194
5.9,262,3550.849456
30.7,500,3580.370125
31.65,500,3609.9181
32.6,500,3639.41028
32.6,500,3668.947815
31.65,500,3698.563654
31.65,500,3728.032011
32.6,500,3757.560105
5.55,255,3786.792478
30.7,500,3816.609682
30.7,500,3846.359365
31.65,500,3876.106878
31.65,500,3906.130644
30.7,500,3935.825845
31.65,500,3965.317923
32.6,500,3994.880052
31.65,500,3995.631999
32.6,500,4025.402471
31.65,500,4055.14308
31.65,500,4084.61122
31.65,500,4114.27673
31.65,500,4143.839976
32.6,500,4173.485554
32.6,500,4203.302832
31.65,500,4233.040395
31.65,500,4262.640074
5.45,253,4291.998947
32.6,500,4321.623178
31.65,500,4351.177105
5.35,251,4351.552996
31.65,500,4381.2565
30.7,500,4411.102739
31.65,500,4440.860956
31.65,500,4470.467667
31.65,500,4500.069819
30.7,500,4529.611291
30.7,500,4559.075713
31.65,500,4588.610347
31.65,500,4618.145565
31.65,500,4647.649108
31.65,500,4677.273527
30.7,500,4706.977574
30.7,500,4736.554786
31.65,500,4766.194676
31.65,500,4795.736825
31.65,500,4825.218821
31.65,500,4854.709909
31.65,500,4884.327076
31.65,500,4913.880772
31.65,500,4943.395577
32.6,500,4972.969476
31.65,500,5002.680194
31.65,500,5032.287968
31.65,500,5061.890166
31.65,500,5091.586572
31.65,500,5121.160543
31.65,500,5150.582898
31.65,500,5180.286587
30.7,500,5210.02844
31.65,500,5239.600829
30.7,500,5240.356848
31.65,500,5269.914477
30.7,500,5299.520047
31.65,500,5329.398987
31.65,500,5358.999519
31.65,500,5388.589222
31.65,500,5418.440281
32.6,500,5448.127155
30.7,500,5477.746835
31.65,500,5507.345062
31.65,500,5536.924093
31.65,500,5566.519979
31.65,500,5596.2762
32.6,500,5625.958807
31.65,500,5655.742679
31.65,500,5685.497411
30.7,500,5715.129191
31.65,500,5744.840346
30.7,500,5774.406893
31.65,500,5804.060887
31.65,500,5833.791606
31.65,500,5863.409027
31.65,500,5892.871462
30.7,500,5922.792231
31.65,500,5952.471974
31.65,500,5982.183891
30.7,500,6012.038908
31.65,500,6041.692351
10.1,327,6042.182706
30.7,500,6071.6917
31.65,500,6101.34302
31.65,500,6130.824688
32.6,500,6160.467553
31.65,500,6189.923413
31.65,500,6219.516145
31.65,500,6249.124657
31.65,500,6278.899792
31.65,500,6308.786495
32.6,500,6338.65356
31.65,500,6368.364048
32.6,500,6397.879977
31.65,500,6427.378985
30.7,500,6456.885226
31.65,500,6486.336953
30.7,500,6515.900335
31.65,500,6545.519981
30.7,500,6575.314501
31.65,500,6605.401808
32.6,500,6635.3326
31.65,500,6665.015543
-1.25,157,6665.254391
31.65,500,6694.862483
32.6,500,6724.46581
31.65,500,6754.059076
31.65,500,6783.576162
30.7,500,6813.133973
31.65,500,6842.657018
6.55,275,6871.968809
31.65,500,6901.71131
31.65,500,6931.681284
31.65,500,6961.525177
31.65,500,6991.267364
31.65,500,7021.072769
31.65,500,7050.635379
31.65,500,7080.164249
31.65,500,7109.805747
31.65,500,7110.56536
31.65,500,7140.07277
32.6,500,7169.767027
31.65,500,7199.542169
31.65,500,7229.421112
31.65,500,7258.97005
31.65,500,7288.537828
30.7,500,7318.017854
32.6,500,7347.711703
31.65,500,7377.287806
30.7,500,7406.877455
31.65,500,7436.485053
32.6,500,7466.205556
30.7,500,7495.914498
30.7,500,7525.470638
30.7,500,7555.090255
32.6,500,7584.660321
30.7,500,7614.305883
31.65,500,7643.980688
30.7,500,7673.701901
31.65,500,7703.242052
31.65,500,7732.550544
31.65,500,7761.65764
31.65,500,7791.086923
32.6,500,7820.997819
31.65,500,7850.835298
-2.8,126,7851.024989
32.6,500,7880.674164
32.6,500,7910.325463
31.65,500,7940.101402
31.65,500,7969.765355
31.65,500,7999.585328
31.65,500,8029.083398
31.65,500,8058.763528
31.65,500,8088.625031
30.7,500,8118.358374
32.6,500,8148.094343
31.65,500,8177.804175
31.65,500,8207.432033
14.15,389,8236.6161
32.6,500,8265.94904
