#{"t_start": 1789626484.9919567, "env_id": "None"}
r,l,t
31.65,500,1.191966
8.9,303,66.471053
20.3,474,149.326523
9.55,316,231.635617
15.05,407,232.477328
15.0,406,312.507437
-6.55,70,312.616555
31.65,500,394.15755
16.8,442,474.873203
31.65,500,557.242702
31.65,500,639.243942
31.65,500,1454.060491
-7.35,54,1454.164155
17.25,451,1539.387784
18.3,472,1623.107977
30.7,500,5336.972234
6.2,268,5422.57999
-6.85,64,5422.687538
-3.05,121,5423.135246
16.8,442,5510.033155
31.65,500,5596.959027
-1.3,156,5597.391428
1.15,186,5597.693315
13.4,374,5685.797502
-5.95,82,5685.925487
14.5,396,5782.976221
31.65,500,5869.509949
30.7,500,5960.747244
31.65,500,6046.329813
6.45,273,6133.351814
31.65,500,6134.280372
-6.8,65,6219.80679
31.65,500,6312.105254
31.65,500,6408.419708
31.65,500,6507.034586
18.6,459,6508.527258
18.8,463,6606.64554
31.65,500,6703.725628
-6.25,76,6703.99792
32.6,500,6804.994938
31.65,500,6900.2473
-2.65,129,6993.560408
31.65,500,7084.03562
31.65,500,7174.922919
11.45,354,7175.829723
31.65,500,7266.408631
18.2,451,7359.233926
0.85,180,7450.614454
5.95,263,7451.349484
12.35,372,7541.276385
-1.25,157,7541.532109
31.65,500,7628.515924
11.0,345,7715.175168
31.65,500,7805.016265
8.9,303,7805.718588
31.65,500,7895.937794
31.65,500,7985.077491
-2.35,135,8070.893892
17.9,445,8072.012151
30.7,500,8162.833963
31.65,500,8258.290097
-1.65,149,18169.898087
-6.85,64,18170.006891
2.45,212,18170.307282
13.25,371,18254.571783
1.0,183,18254.848811
31.65,500,18341.5453
31.65,500,18430.714078
-3.1,120,18430.975764
31.65,500,18518.021201
31.65,500,18606.468404
7.25,289,18694.909771
-6.7,67,18695.0221
31.65,500,18783.401698
31.65,500,18871.060593
-6.4,73,18871.171582
31.65,500,18957.924539
5.25,249,19046.884943
18.55,458,19135.979023
31.65,500,19225.199899
30.7,500,19226.253594
-2.8,126,19314.883269
-2.5,132,19315.070704
-2.7,128,19315.400439
31.65,500,19402.274045
20.25,492,19488.913445
2.95,222,19575.87871
31.65,500,19662.859205
32.6,500,19747.110612
30.7,500,19832.95038
32.6,500,19918.428958
31.65,500,19919.375422
31.65,500,20005.54722
31.65,500,20089.26685
31.65,500,20176.594026
31.65,500,20262.511699
31.65,500,20348.370901
31.65,500,20435.202125
-5.95,82,20522.186421
-5.7,87,20522.418784
-6.7,67,20522.568336
9.65,318,20523.077946
19.45,476,20609.509532
31.65,500,20697.681888
5.85,261,20784.357454
6.75,279,20784.859661
5.15,247,20869.656129
-2.2,138,20869.888482
7.25,289,20955.09446
7.15,287,20955.677056
2.3,209,21040.498322
31.65,500,21124.957978
-6.05,80,21125.130244
-7.35,54,21125.220927
31.65,500,21212.151934
31.65,500,21299.729331
30.7,500,21386.940306
31.65,500,21473.38729
31.65,500,21560.722125
0.75,178,21561.161435
-2.0,142,21561.391314
9.4,313,21649.57329
-1.85,145,21649.817918
31.65,500,21735.507017
-6.0,81,21735.63292
31.65,500,21822.129235
30.7,500,21909.429518
5.4,252,21997.313136
-7.05,60,21997.429265
31.65,500,22085.724394
-2.05,141,22085.936688
31.65,500,22172.139751
0.5,173,22258.482712
-2.65,129,22258.714483
31.65,500,22344.791906
11.65,358,22431.165249
7.45,293,22431.677077
-2.75,127,22432.01112
-2.75,127,22518.244251
31.65,500,22606.499561
15.2,410,22607.292938
-6.7,67,22607.402788
15.8,422,22694.088672
31.65,500,22781.045913
30.7,500,22868.803318
31.65,500,22955.093401
-2.55,131,22955.275359
2.25,208,23042.499357
30.7,500,23129.891202
31.65,500,23214.231739
31.65,500,23302.227612
16.1,428,23388.174233
5.6,256,23388.737508
3.4,231,23475.24666
30.7,500,23561.56495
1.35,190,23561.990639
5.4,252,23562.612915
14.35,393,23650.675463
-2.75,127,23650.855026
-6.15,78,23738.156358
31.65,500,23825.728421
30.7,500,23912.413903
31.65,500,23999.788761
9.15,308,24000.449829
-2.95,123,24000.649723
15.9,424,24088.060651
31.65,500,24175.485425
9.0,305,24262.486517
31.65,500,24349.635617
31.65,500,24436.439326
30.7,500,24523.550407
31.65,500,24612.064849
11.5,355,24612.645045
31.65,500,24698.694685
31.65,500,24787.08417
32.6,500,24875.452676
31.65,500,24963.626756
32.6,500,25051.415531
31.65,500,25139.769111
31.65,500,25226.182355
31.65,500,25312.583529
31.65,500,25399.038617
32.6,500,25488.469713
31.65,500,25576.771371
1.3,189,25663.498499
31.65,500,25664.609487
31.65,500,25752.257576
31.65,500,25839.528414
31.65,500,25928.502142
31.65,500,26015.724362
30.7,500,26101.804298
31.65,500,26188.602438
31.65,500,26275.599235
32.6,500,26363.01773
31.65,500,26449.967138
31.65,500,26537.015947
31.65,500,26622.601443
30.7,500,26711.877364
30.7,500,26796.984426
31.65,500,26881.76099
32.6,500,26969.170471
31.65,500,27057.254869
31.65,500,27145.611678
32.6,500,27234.121479
31.65,500,27322.025314
32.6,500,27407.881125
32.6,500,27496.207585
5.6,256,27496.619381
30.7,500,27583.389507
31.65,500,27672.07566
31.65,500,27759.72495
1.2,187,27845.188215
30.7,500,27932.044056
31.65,500,28020.749921
31.65,500,28109.206289
31.65,500,28196.028388
31.65,500,28283.308149
31.65,500,28371.236476
31.65,500,28457.403409
32.6,500,28545.236392
31.65,500,28631.868652
31.65,500,28718.819234
31.65,500,28804.863013
31.65,500,28892.565561
-1.95,143,28892.891053
31.65,500,28980.941289
32.6,500,29069.013036
31.65,500,29156.614668
31.65,500,29243.223175
-2.4,134,29243.530592
31.65,500,29331.372577
3.2,227,29331.902323
31.65,500,29419.041384
30.7,500,29506.933325
31.65,500,29594.606919
18.6,459,29682.099736
30.7,500,29770.028378
31.65,500,29856.675095
31.65,500,29944.573789
31.65,500,30031.537987
-7.2,57,30031.623095
11.45,354,30115.926801
32.6,500,30200.067719
14.25,391,30284.326021
5.75,259,30284.867316
31.65,500,30367.280605
31.65,500,30451.412674
31.65,500,30533.976428
-2.4,134,30534.154183
10.35,332,30618.282366
-1.55,151,30618.464545
1.5,193,30702.572667
16.5,436,30787.117185
31.65,500,30788.089592
31.65,500,30871.313829
31.65,500,30954.867806
31.65,500,31040.322933
6.35,271,31122.040443
4.8,240,31122.333932
32.6,500,31205.827314
31.65,500,31288.688774
31.65,500,31372.05155
30.7,500,31455.664374
31.65,500,31539.85818
-2.35,135,31621.960363
2.3,209,31622.311535
31.65,500,31706.047228
-7.2,57,31706.173877
6.95,283,31788.997616
31.65,500,31873.026718
16.45,435,31873.850744
31.65,500,31957.389771
31.65,500,32040.371534
13.7,380,32122.104071
30.7,500,32205.155425
31.65,500,32289.533692
0.55,174,32289.992671
32.6,500,32373.014436
32.6,500,32456.523757
32.6,500,32539.970647
31.65,500,32622.357627
9.25,310,32705.437946
31.65,500,32789.223061
31.65,500,32873.008365
31.65,500,32957.828311
31.65,500,33041.917397
31.65,500,33128.586875
31.65,500,33215.18748
30.7,500,33302.282311
31.65,500,33388.662422
-1.45,153,33388.94038
31.65,500,33476.585225
31.65,500,33562.32951
31.65,500,33648.77445
31.65,500,33736.656553
31.65,500,33823.91388
31.65,500,33912.095721
31.65,500,33999.180765
31.65,500,34085.834842
31.65,500,34171.422791
31.65,500,34257.500515
31.65,500,34344.511963
31.65,500,34430.275035
32.6,500,34518.133981
31.65,500,34604.403597
30.7,500,34691.981175
31.65,500,34778.217756
31.65,500,34864.191886
31.65,500,34951.547801
30.7,500,35038.096103
32.6,500,35125.057633
31.65,500,35212.079801
31.65,500,35299.797551
31.65,500,35387.594791
32.6,500,35388.723715
31.65,500,35475.119585
31.65,500,35562.718548
31.65,500,35648.393326
31.65,500,35735.334883
32.6,500,35822.319667
31.65,500,35909.672777
31.65,500,35996.447502
31.65,500,36084.079277
13.25,371,36171.426766
31.65,500,36257.246231
30.7,500,36344.709661
32.6,500,36430.083623
1.55,194,36430.40606
32.6,500,36517.666768
30.7,500,36604.370042
31.65,500,36691.38275
30.7,500,36776.309794
31.65,500,36863.373098
31.65,500,36948.972368
31.65,500,37036.028056
30.7,500,37122.914711
31.65,500,37210.270515
31.65,500,37298.357255
31.65,500,37385.111506
31.65,500,37473.663449
31.65,500,37559.773378
31.65,500,37645.266672
32.6,500,37732.659435
32.6,500,37820.553547
31.65,500,37907.938797
31.65,500,37993.993713
31.65,500,38081.811739
31.65,500,38169.309191
31.65,500,38255.992599
32.6,500,38344.508648
31.65,500,38432.172706
31.65,500,38519.176357
-2.75,127,38519.492075
9.8,321,38606.521723
31.65,500,38694.070602
31.65,500,38781.48441
31.65,500,38868.105415
32.6,500,38955.68662
31.65,500,39042.924325
4.45,233,39043.472145
31.65,500,39130.141884
8.7,299,39215.529019
31.65,500,39302.075281
31.65,500,39389.269898
31.65,500,39390.188723
31.65,500,39478.342296
31.65,500,39564.661374
